text,publication_time,reactions
"Губернатор Белгородской области сообщил об обстреле села Муром

Осколки повредили два частных дома и автомобиль, но среди людей никто не пострадал. Администрация села сейчас ищет другие возможные повреждения.

Приграничные населённые пункты Белгородской области подвергаются обстрелам почти с самого начала войны. 1 января в очередной раз досталось городу Шебекино. Там тоже задело два частных дома.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 11:49:07+00:00,
"В Москве неизвестные швырнули «Молотовы» в забор военного комиссариата — Baza

Бутылок с зажигательной смесью было две. Вспыхнувшее пламя удалось оперативно потушить, так что в результате пожара никто не пострадал. Поджигателя ищет полиция.

Ранее за попытку поджечь военкомат в подмосковном Подольске задержали пожилую чету. Среди бела дня 70-летний мужчина с канистрой облил крыльцо военкомата бензином и поджог. Его жена снимала всё на видео.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 11:31:08+00:00,
"Дубай отменил 30% налог на продажу алкоголя и плату за получение лицензии на его употребление

Власти отказываются называть орган, который принял постановление, и отвечать на запросы СМИ. Эксперты считают, что ослабление контроля связано с желанием страны стать более привлекательной для туристов.

Сообщается, что «ослабление правил в отношении алкоголя» в регионе происходит уже «годами». Например, такие напитки можно купить даже в дневное время в Рамадан или заказать на дом. Последнюю меру ввели в связи с пандемией COVID-19.

Ранее власти Катара обещали легализовать продажу алкоголя на стадионах во время ЧМ-2022, но перед самым началом чемпионата отказались от своего решения, вызвав громкий скандал и принеся компании Budweiser огромные убытки.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 11:00:27+00:00,
"Бразилия прощается с Пеле

Тело легендарного футболиста привезли на стадион его родного клуба «Сантос» в сопровождении кортежа. Гроб установили в центре поля. Попрощаться с трёхкратным обладателем Кубка мира смогут все желающие — фанатов подпустят на расстояние примерно в пять метров.

Церемония продлится сутки. После этого тело Пеле провезут по городу, в том числе мимо дома его столетней матери, которая всё ещё жива. Единственного трёхкратного чемпиона мира похоронят в некрополе «Экуменика».

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 10:34:13+00:00,
"Шотландская полиция предложила лечить и поддерживать педофилов и назвала их «людьми, испытывающими влечение к несовершеннолетним»

Представитель шотландских консерваторов заявил, что большинство местных жителей сочли термин «глубоко тревожащим и неправильным».

Занимающиеся пробламами детей организации также были шокированы попытками переименовать педофилов в «людей с влечением к несовершеннолетним» (Minor-Attracted People, MAP). В полиции Шотландии уже подчеркнули, что не используют подобный термин по отношению к педофилам в работе. Термин взяли из отчёта, относящегося к проекту Horizon Project EU. Заявляется, что местные органы «успешно пролоббировали отказ от термина MAP» ещё в сентябре.

Ранее выяснилось, что британские педофилы успешно пользуются законом, который защищает трансгендеров. После отбывания тюремного срока они меняют пол и получают возможность снова работать с детьми, так как закон позволяет не информировать работодателя о своей «прошлой личности».

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 09:58:07+00:00,
"В Ростовской области разыскивают шестерых заключённых, сбежавших из учебного центра ЧВК «Вагнер» в ЛНР

Шестеро военных покинули центр в Краснодонском районе Луганской области между 21 и 22 декабря 2022 года. Сообщается, что «среди них три гражданина Узбекистана и по одному — из России, Беларуси и Киргизии».

Считается, что сейчас сбежавшие могут находиться на территории Ростовской области. Местных жителей просят «соблюдать меры личной безопасности» и сообщить о «вагнеровцах» по номеру 112.

Как и кадыровцы, пригожинские подопечные в конце концов сложили дважды два и поняли, что на гражданке совершать подвиги гораздо приятнее и безопаснее, чем в окопе.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 09:32:07+00:00,
"Глава NASA обвинил Китай в планах захватить ресурсные территории Луны и не пустить туда США

Билл Нельсон заявил об угрозе захвата Луны со стороны Китая «под видом научных исследований». В космическом агентстве опасаются, что их программа по обеспечению «постоянного присутствия» на спутнике Земли будет отставать от китайской, а китайцы в итоге потребуют от американцев «держаться подальше» от богатых ресурсами районов.

Один из бывших командиров МКС отметил, что текущая космическая гонка представляет собой скорее политическое соревнование. Тем не менее, он также подчеркнул, что высадка космонавтов КНР на Луне может нести и «практические угрозы».

Фантасты: на Луне тайно живут нацисты. Реальность: Луну выдают по карточкам коммунисты.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 08:55:07+00:00,
"В новогоднюю ночь ВСУ ударили по базе временного размещения российских мобилизованных в Макеевке

Солдаты были размещены в здании профтехучилища №19 на Кремлёвской улице. Российские источники сообщают, что удар по объекту нанесли высокоточной ракетой из комплекса HIMARS.

Киевские власти утверждают, что в результате удара погибли 400 мобилизованных, ещё около 300 получили ранения.

О сотнях погибших пишут и прокремлевские Telegram-каналы. Так, «Царьград» сообщил, что в местных чатах число погибших оценивают «сотнями человек». Канал «Оперативные сводки» заявил о 500 погибших. Военный блогер Борис Рожин сообщил вечером 1 января, что «завалы еще разбирают».

В Минобороны России информацию пока не комментировали.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 08:37:09+00:00,
"Джереми Реннер попал в больницу в критическом состоянии

Американский актер, известный по роли Соколиного глаза, был госпитализирован из-за травмы, полученной при уборке снега. Он попал в ДТП на снегоуборочной машине. По словам представителя актера, он находится в больнице в «критическом, но стабильном состоянии».

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 08:28:07+00:00,
"Жители Воронежа сообщили о громком взрыве в ночь на 2 января

Он прогремел на окраине города, в районе военного аэродрома «Балтимор». Правительство области утверждает, что это сбили украинский дрон:

«Сегодня ночью на подлете к Воронежу был обнаружен и сбит средствами ПВО малогабаритный разведывательный беспилотный летательный аппарат, запущенный с территории Украины. Жертв и разрушений на земле нет, ситуация под контролем».

Воронеж не зря пугали все эти годы, он был готов к удару.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 08:08:09+00:00,
"Во Франции презервативы для людей до 25 лет сделали бесплатными

Каждый молодой человек или девушка до 26 лет смогут получать по коробке презервативов в день. Те, кому уже исполнилось 18, должны будут предъявить полис (carte vitale). Несовершеннолетним будет достаточно указать дату рождения.

Минимального возраста для получения контрацептивов нет: фармацевт будет устанавливать таковой самостоятельно. Меру вводят в рамках борьбы с ЗППП, а также сокращения числа ВИЧ-инфицируемых. Получить контрацептивы можно будет в аптеках.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 07:54:06+00:00,
"Число россиян с запретом на выезд за рубеж из-за долгов достигло рекордных 8 миллионов

В пресс-службе ФССП сообщили, что «в настоящее время постановления о временном ограничении должников в праве выезда из Российской Федерации действуют в рамках 8 миллионов исполнительных производств». В прошлом году их количество составляло 5,5 миллионов.

Ограничения на выезд появились в 2008 году. Их ввели при помощи N 229-ФЗ «Об исполнительном производстве». Он позволяет приставам выпускать постановления о запрете на выезд, если россиянин не оплатил задолженности «без уважительных причин».

После начала «частичной» мобилизации ФНС объявила о том, что призыв на службу не освобождает от уплаты налогов и подачи отчетности. Вскоре родственники отправившихся на фронт мужчин начали жаловаться, что им не предоставляют кредитных каникул. Но зато семьи мобилизованных в полном объёме получают сладости и полотенца.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-02 07:20:07+00:00,
"К чему привело замалчивание теории о лабораторной утечке коронавируса

С самого начала эпидемии китайского коронавируса существовали подозрения о его лаборатоном происхождении. Тем не менее, либеральные учёные замалчивали неудобную правду. 

Что происходит, когда исследователи считают своим долгом продвигать определённые цели даже в ущерб здоровью людей – читайте в переводе Джулиет Сэмюэль.

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-01 12:14:31+00:00,
"☃️ Лучшие новогодние салюты мира🎄

Магия Нового года окутала земной шар, объединив людей! Присылайте в комменты свой, самый лучший в мире салют, соберём их все! 🥳

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-01 07:05:43+00:00,
