text,publication_time,reactions
"🇺🇦 Украинцы провели новогоднюю ночь в укрытиях из-за новой атаки ВС РФ

По сообщениям властей Украины ВС РФ подвергли территорию страны очередной массированной бомбежке в новогоднюю ночь. Вместо празднования Нового года половину ночи украинцам пришлось просидеть в бомбоубежищах. 

Только над Киевом ПВО удалось сбить 32 летящих цели, а обломками  ракеты был поврежден гражданский автомобиль. Херсон в результате обстрела вовсе остался без электричества — одна из ракет попала в объект энергетической инфраструктуры. 

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-01 05:35:34+00:00,
"Новогодняя ночь в центре Москвы: задержания, толпы полицейских и автозаки

Московская мэрия и столичная полиция помогли москвичам и гостям столицы с новогодним настроением. 

Для тех, кто не захотел праздновать новый год правильно и выбрать другие маршруты прогулки, у властей припасено особое развлечение — трамбование на свежеуложеной собянинской плитке и погрузка в теплый автозак. 

Задонатить через бота | Patreon | Boosty | Предложить новость",2023-01-01 03:23:38+00:00,
"Что случилось 31 декабря, в 311-й день войны, самое важное:

— ВС РФ обстреляли Украину, запущено более 20 ракет, минимум четверо ранены

— На Красной площади мужчина попытался поджечь елку — «Известия»

— Итальянский театр отменил выступление танцора-путиниста Сергея Полунина

— Умер папа римский на покое Бенедикт XVI

— Жителям Белгорода в новогоднюю ночь на городской площади раздали карты укрытий

— Путин выступил с Новогодним обращением на фоне военных

— Итоги года от сммщиков SVTV

🍾 Новогоднее поздравление издателя SVTV Михаила Светова

🎉Долгожданный коллаб SVTV и RedShield VPN! 
Оплати подписку на SVTV и получи промокод — до 2 лет бесплатного VPN!

🎁Фирменный стикерпак SVTV! Поздравляем с Новым годом, будьте счастливы ^_^",2022-12-31 23:00:50+00:00,
"🎄Павел Дуров опубликовал поздравление с Новым годом. Он пожелал состояния потока и наполненности в 2023 году.

Мы присоединяемся к поздравлению Павла и предлагаем ему в честь нового года обеспечить поток в криптокошельки SVTV News. По этому случаю у нас даже открыт TON! Но для верности — лучше по потоку на каждый кошелёк.

BTC 1EahjiPKXyAFRbTC9HYL67TMQjZZgfFw9g
LTC LTwfHhGa7bQfXhPY7hn7Y1ajhcGMrpcD2N
BCH qzk27dg92j6hfftx7hfa6jyyy60ylsutdg2hgz28na
DASH XtqFqLi8VJV7eJ1s98MLbNmSNdZ81vbNVt
ETH 0×19330e83c2059Ad5B67b8431dd6ba4BD848dec67
TON EQCWz0h6Q63UdJFcMUnwrgLM8D6cYOutxISn4NGDnqyrQUq8
ZEC t1WuCvNNDsRNWaR4rrRjFia2N7SfpPoQYsu
XMR 48ruTzXESqg6dBesQpHvJXHeAYVobsDhKa8m4CMgvtBdHTa3mWCFgD7WXpwMXt8TbBSLaN8J1PWtbZNu8WzSxvTiDGMpu8X
USDT TRС-20 TWC5gDfeWpEiNDx6MbtQiK7HYv3n23aLDhс",2022-12-31 22:01:18+00:00,
"🎄☃️С Новым Годом, дорогие читатели!

2022 год поделил Россию на «до» и «после». На тех кто остался, и тех кто уехал. На тех кто любит Россию, и тех кто любит государство. На своих и чужих.

Нас разметало по свету. Но где бы мы ни были, Россия остаётся с нами. В 2022 году мы лишились дома. Но мы не потеряли Россию, потому что Россия не в Кремле, а в каждом из нас.

В комментариях под этим постом у нас для вас небольшой подарок: фирменный стикерпак SVTV.

Поздравить команду SVTV с Новым годом можно донатом или репостом. Помогите нам пробить 65000 подписчиков! Мы обещаем быть с вами честными и оправдать ожидания.

Спасибо за вашу поддержку. Будьте счастливы и с Новым Годом! ☺️

BTC 1EahjiPKXyAFRbTC9HYL67TMQjZZgfFw9g
LTC LTwfHhGa7bQfXhPY7hn7Y1ajhcGMrpcD2N
BCH qzk27dg92j6hfftx7hfa6jyyy60ylsutdg2hgz28na
DASH XtqFqLi8VJV7eJ1s98MLbNmSNdZ81vbNVt
ETH 0×19330e83c2059Ad5B67b8431dd6ba4BD848dec67
TON EQCWz0h6Q63UdJFcMUnwrgLM8D6cYOutxISn4NGDnqyrQUq8
ZEC t1WuCvNNDsRNWaR4rrRjFia2N7SfpPoQYsu
XMR 48ruTzXESqg6dBesQpHvJXHeAYVobsDhKa8m4CMgvtBdHTa3mWCFgD7WXpwMXt8TbBSLaN8J1PWtbZNu8WzSxvTiDGMpu8X
USDT TRС-20 TWC5gDfeWpEiNDx6MbtQiK7HYv3n23aLDh",2022-12-31 21:01:35+00:00,
"🎁 Новогодний подарок от SVTV! 

У нас для вас небольшой подарок: фирменный стикерпак SVTV. Теперь вы сможете предъявить редактору и отправить ему грозного Михаила Светова. Есть шанс, что СММщик испугается и исправит пост.

А ещё лучше — отправляйте стикеры в либеральные паблики. Потому что само существование Михаила в этих кругах считается оскорбительным!

С праздником! ❤️

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 20:00:24+00:00,
"Заждались 00:00, чтобы открыть шампанское? Целый час удаляли с телефона открытки из Вотсапа? Сварили морковь в одной кастрюле с яйцами и вас оборжали друзья?

Не переживайте, наша редакция знает как вас развлечь. Мы подготовили бинго платинового SVTV! 

Признавайтесь, было?

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 19:02:43+00:00,
"Поздравление с Новым Годом от Михаила Светова

Я желаю, чтобы новый 2023 год был к вам не так жесток, как был 2022. А вы — не ожесточились и не стали равнодушными. В мире происходит достаточно зла. А вы долго держались и не нужно поддаваться ему сейчас. 

В 2022 году мы не сумели спасти Россию. Но даже самые страшные события служат началом чего-то светлого и нового. Я желаю вам найти этот свет в себе и не забывать жить и быть счастливыми. С Новым Годом!

https://youtu.be/kQYBEs1bGA0

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 17:06:53+00:00,
"Итоги года от СММ отдела SVTV

Целый год мы освещали для вас смешные и не очень события, старались писать смешные и остроумные шутки. Не всегда получалось, но мы очень старались. 🥺 

За календарный год мы 25 раз пошутили про гей-инструкторов НАТО, 39 раз вспоминали про ТикТок войска Рамзана Кадырова и 51 раз приводили цитаты с выступлений Путина. Кроме того, мы целых 90 раз обозревали тирады нашего любимого щитпостера Дмитрия Медведева и 19 раз пытались выяснить, что же всё-таки такое женщина.

Наше психическое здоровье от этого сильно пошатнулось, но даже в новый год мы продолжаем готовить для вас контент. Вы всегда можете помочь СММщикам рублем и задонатить им на ромашковый чай. Для этого у нас существует специальный бот.",2022-12-31 15:36:53+00:00,
"Минобороны сообщило о возвращении из украинского плена 82 военных

Ведомство заявляет, что переговоры об обмене состоялись 31 декабря. В результате России удалось вернуть 82 военнослужащих, находившихся в плену.

В сообщении ведомства отмечается, что в плену им «грозила смертельная опасность».

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 14:20:09+00:00,
"В новогоднем обращении Путина обнаружили женщину, похожую на участницу «массовки» предыдущих мероприятий с участием президента

На видео 2022 года женщина стоит сразу за Путиным. В сентябре 2016 года похожую на неё блондинку сфотографировали на встрече Путина с рыбаками на озере в Новгородской области. А в январе 2017-го этих же людей заметили на рождественской службе в новгородском монастыре.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 14:00:31+00:00,
"Последствия новогоднего обстрела Украины ВС РФ

Фото и видео разрушений в Печерском районе Киева опубликовал замглавы офиса президента Украины Кирилл Тимошенко.

Мэр Кличко сообщил об одном погибшем и семи пострадавших в результате обстрела Соломенского района города.

Кроме того, в Николаеве после обстрелов двое раненых, один из них в тяжёлом состоянии. В Хмельницком ранено минимум четыре человека, людей призывают оставаться в укрытиях.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 13:49:09+00:00,
"1 января «Россия 24» весь день будет показывать пропагандистскую передачу «Бесогон» Никиты Михалкова

Зрителям дадут передохнуть только редкие выпуски новостей.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 13:05:09+00:00,
"Параллельно с новогодним обращением Владимира Путина начались новые обстрелы Украины ВС РФ

Запущено уже больше 20 ракет, обстрел продолжается.

В Киеве прогремело более 10 взрывов в трех районах. Как минимум один человек погиб. Взрывы также слышали в Винницкой, Харьковской и Житомирской областях, в Хмельницком ранены два человека.

В Киевской, Одесской, Кировоградской, Николаевской и Днепропетровской областях начались экстренные отключения электричества.",2022-12-31 12:48:35+00:00,
"Владимир Путин выступил с новогодним обращением на фоне военных

Основные тезисы его речи:

— Запад врал о мире, а готовился к агрессии.

— Главное сейчас — судьба России.

— Суверенное независимое будущее России зависит только от воли россиян.

— Россия сражается за истинную независимость, за своих людей.

— России была объявлена настоящая санкционная война, ее авторы ожидали полного разрушения страны, но этого не произошло.

— Россияне сейчас сами объединяются, чтобы помочь другим, без всяких формальных указаний.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 12:15:08+00:00,
"Алексей Навальный поздравил россиян с Новым годом

«Мне в письмах наприсылали кучу елочек и Дедов Морозов на веревочках, я их развесил по камере, очень новогодне получилось. Через час на обыске все забрали, но настроение осталось«, — написал он.

Навальный пишет о том, что у него, как и у многих, есть ощущение физической связи с близкими. «И я хочу сказать, что в этот Новый год я таких связей чувствую очень много. Десятки и сотни, тысячи и даже миллионы, наверное. Беда, свалившаяся на страну, сделала всех нормальных честных людей ближе друг к другу, и неудивительно, что между нами появляется связь«, — пишет он.

Он также поблагодарил сторонников за поддержку, пожелал всем оказаться дома со своими семьями и наступления мира.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 12:04:11+00:00,
"Абрамович потерял больше других российских миллиардеров в 2022 году — Bloomberg

По расчетам агентства, состояние бывшего владельца английского футбольного клуба «Челси» за год сократилось более, чем на $10 млрд. Большую часть этих денег Абрамович потерял после начала войны в Украине из-за санкции Великобритании и Евросоюза.

Кроме того, Комиссия по ценным бумагам и биржам и ФБР США начали расследование в отношении консалтинговой фирмы Concord Management, которая контролировала инвестиции бизнесмена в хедж-фонды на $6 млрд. Сейчас эти деньги фактически заморожены.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 11:46:08+00:00,
"В аэропортах Москвы отменили или задержали 100 рейсов

По меньшей мере 27 рейса задержаны и 73 отменены в московских аэропортах, следует из данных сервиса «Яндекс. Расписание».

По состоянию на 14:00 мск, наибольшее число отмен зафиксировано в Шереметьево — 68 рейсов. Еще 10 задерживаются. В Домодедово 10 задержанных рейсов, отменены 2. Во Внуково отменили 3 рейса и задержали еще 7.

В пресс-службе аэропорта Домодедово сообщили, что он работает штатно, отмен и задержек рейсов из-за погодных условий нет. Во Внуково также заявили о штатном режиме работы и сказали, что отмен рейсов из-за метеоусловий нет.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 11:01:09+00:00,
"Государство отказалось выделять гранты на российские аналоги TikTok и Instagram — РБК

В список на господдержку попали несколько аналогов сервиса видеоконференций Zoom, почтовый сервис «Почта 2.0» от «Росатома» и система VK Teams. При этом Минцифры заявило, что грантовая поддержка «не является оптимальной» для направления, так как это уже «зрелые сервисы, которые не уступают западным аналогам». Разработчикам лишь дадут льготные кредиты.

Ранее правительство планировало выделить на «убийц Instagram» сотни миллионов рублей. Но видимо решило, что проблему уже решил Россграм. Помните такой?

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 10:36:07+00:00,
"Шойгу в новогоднем поздравлении заявил о надеждах на «мирное будущее»

Министр обороны поздравил военнослужащих с наступающим Новым годом в видеообращении. В нём он сказал, что «в сложной военно-политической обстановке» новогодний праздник «приобретает более глубокий смысл, являясь символом наших надежд на мирное будущее».

«Когда пытаются перечеркнуть нашу славную историю и великие достижения, сносят памятники победителям фашизма и возводят на пьедестал военных преступников, отменяют и оскверняют всё российское. В этих условиях предстоящий новогодний праздник остается не только доброй народной традицией, но и приобретает более глубокий смысл, являясь символом наших надежд на мирное будущее», — сказал он.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 10:17:12+00:00,
"Жителям Белгорода в новогоднюю ночь на городской площади раздадут карты укрытий

На Соборной площади в ночь на 1 января развернут оперативный штаб. По словам мэра города Валентина Демидова, «специалисты будут анализировать ситуацию и быстро реагировать на возможные угрозы. По всем нештатным ситуациям горожане будут оперативно проинформированы».

Власти уже продумали схему для эвакуации людей с площади в случае «угрозы». Всем, кто придет на праздник, раздадут флаеры с картой укрытий.

Какое мирное небо над головой на Новый год? Не положено!

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 10:04:10+00:00,
"Умер папа римский на покое Бенедикт XVI 😔

Апостольский престол он занимал с 2005-го по 2013 годы.",2022-12-31 09:40:10+00:00,
"Кремль советует пропагандистам при подведении итогов года хвалить увеличение площади России и рейтинги Путина — «Медуза»

Администрация президента России подготовила методичку для государственных и провластных СМИ о том, как правильно подводить итоги 2022 года. Методичка разделена на четыре раздела: «Главное», «Усиление России», «СВО» и «Новый миропорядок».

Кремль призывает пропагандистов подчёркивать правильность решения вторгнуться в Украину, ведь оно предотвратило «готовящееся нападение Украины и НАТО на территорию России». Власти утверждают, что Запад с 2014 года готовился «разделить и покорить русский народ».

Чиновники АП поленились придумывать новые смыслы хаотичному поведению своего начальника, поэтому просто превратили текст песни «Владимир Путин — молодец, политик, лидер и борец!» в PR-стратегию.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 09:16:08+00:00,
"Глава ЛНР Леонид Пасечник заявил, что находящиеся под управлением государства шахты в ЛНР пока нерентабельны. По его словам, если ситуация не изменится, шахты могут приватизировать. 

ЧЗХ?! Пасечник — либертарианец? 🤯",2022-12-31 08:30:42+00:00,
"В Комсомольске-на-Амуре силовики задержали активистку за пикет с плакатом «Мир»

Надежда Филимонова проводила одиночный пикет на площади Ленина. Её доставили в ОВД, там она написала объяснительную и получила извещение о необходимости явиться на составление административного протокола по статье о «дискредитации ВС РФ».

Ни мира, ни войны, всё сплошная спецоперация.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 08:07:09+00:00,
"Адвокат Эдварда Била и избитого Кокориным и Мамаевым чиновника Минпромторга помещен в СИЗО. Находясь под следствием за драку, он устроил еще один дебош

Геннадия Удуняна обвиняют в умышленном причинении легкого вреда здоровью, незаконном проникновении в жилище, совершенном против воли проживающего в нем лица и хулиганстве. Уже находясь под запретом определенных действий, 23 ноября пьяный адвокат ворвался отель «Лотте-Плаза», выбил дверь в один из номеров, где избил свою бывшую Дарью Глушакову и ее неназванного спутника.

Год назад Удунян тоже подрался с посетителями в ресторане La Maree и даже угрожал им пистолетом.

А вы точно адвокат?

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 07:52:07+00:00,
"На Красной площади мужчина попытался поджечь елку — «Известия»

По данным издания, мужчина, которого зовут Дмитрий М., подошел к дереву с канистрой бензина и попытался поджечь его, но его сразу заметили и задержали. Место происшествия оцепили.

По данным «Яндекс.Карт», новогодняя елка на Красной площади установлена рядом с ГУМом, еще одна стоит на Манежной площади, а еще одна — в Кремле.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 07:21:08+00:00,
"🇻🇪Хуан Гуайдо смещен с поста временного президента Венесуэлы

30 декабря Национальная ассамблея проголосовала за смещение Хуана Гуайдо и роспуск его правительства. Легитимность Гуайдо с 2019 года признало 50 государств, в том числе США, Франция, Германия, Бельгия и Великобритания. Но фактического двоевластия в Венесуэле не случилось. 

Признание правительства США и международного сообщества оказалось не таким значимым аргументом, как признание от ЧВК «Вагнер» и местных бандитов.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 06:30:52+00:00,
"Кадыровцы домогались к девушке в Симферополе и толпой избили её парня — видео

Появились кадры нападения у клуба «Монро». На них видно, как кадыровец потрогал за ягодицы девушку. Её спутник попытался объяснить, что в Симферополе так не принято — в ответ его ударами повалили на землю телохранители обидчика, а сам обидчик попытался добить лежачего ногами по голове. 

Зачинщиком конфликта оказался Хасан Ибрагимов — представитель Кадырова в Херсонской и Запорожской областях. С ним были задержана охрана: Артур Абдулаев, Суламбек Тадушаев, Магомед Товсултанов и Шамиль Азизов.

Чей Крым, говорите?

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 05:47:20+00:00,
"🇺🇸Глава обанкротившейся FTX ходил в Белый Дом вплоть до 8 сентября

В журнале посетителей обнаружили 4 визита Сэма Бэнкмана-Фрида за 2022 год. Он свободно входил в администрацию «решать вопросы» с высокопоставленными чиновниками Байдена. На встречах мошенник давал советы по регулированию криптовалют в США.

Не удивительно, что Сэм сразу по прилёту в США вышел из тюрьмы под честное слово. Сейчас он путешествует по стране первым классом и живёт в особняке родителей за $4 млн.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 04:48:39+00:00,
"🇺🇸 Уроки ментальной гимнастики от либералов: почему митинг 6 января якобы привёл к вспышке ковида — а погромы BLM нет 

В 2020 году крупнейшие СМИ внушали американцам, что коронавирус не распространяется между погромщиками BLM. Болезнь проявила политическую грамотность, она не передавалась между сотнями тысяч погромщиков, выжигающих города. 

Но стоило нескольким сотням сторонников Трампа провести мирный митинг у Капитолия — они сразу заразили всех чиновников в Вашингтоне и 38 полицейских. Митинг после этого сравнивали с Холокостом, Пёрл Харбором и 11 сентября.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 03:35:03+00:00,
"🇺🇸 Белые либералки отпугнули остальных женщин от идей феминизма

Опросы показывают, что американские женщины всё реже готовы называть себя феминистками из-за токсичного поведения феминисток.

Единственные, у кого не угас энтузиазм к феминизму — белые либеральные женщины.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 01:31:06+00:00,
"🇮🇹 Итальянский театр отменил выступление танцора-путиниста Сергея Полунина

Миланский театр «Арчимбольди» отменил балет «Распутин — танцевальная драма», главную роль в котором исполняет Сергей Полунин. 

Театр пожаловался на давление общественности и заявил, что решение никак не связано с отменой русской культуры. Просто выступление россиян идет вразрез с ценностями театра. 

Полунин многие годы открыто поддерживает Владимира Путина и даже набил три его портрета у себя на груди. Теперь кумир поставил Сергея в непростую ситуацию: ему запрещают выступать и в России и за рубежом. 

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-31 00:04:48+00:00,
"Что случилось 30 декабря, в 310-й день войны, самое важное:

— Путин разрешил не декларировать доходы силовиков, участвующих в войне, и не публиковать декларации других чиновников

— Зеленский усиливает регулирование СМИ

— ФСБ отчиталась о задержании украинца, который готовил теракт на Северном Кавказе по «заданию украинских спецслужб»

— Парламенты ДНР и ЛНР приняли новые конституции республик

— Аркадий Волож сообщил, что покидает «Яндекс»

— В Омске задержан подозреваемый в поджогах z-мобилей — Baza

— Российский СК обвинил ВСУ в убийстве трёх тысяч мирных жителей Мариуполя

— Лия Ахеджакова перенесла свой спектакль «Мой друг Вениамин» после угроз чиновников

— Под Волгоградом в поле обнаружили обломки ракет

— На Сахалине сбежавшего из части военного, который не хотел ехать на войну, приговорили к 3 годам колонии-поселения

— В Минобороны РФ предложили легализовать полевые тюрьмы для военных

— RT выпустил обращение от фейкового Владимира Зеленского

— В третьем квартале 2022 года россияне вывели за границу рекордные за четыре года 1,47 триллиона рублей

— Бывший главный раввин Москвы Пинхас Гольдшмидт призвал российских евреев уезжать из страны

Спецматериалы SVTV:

Перевод: Как Сэм Бэнкман-Фрид бесплатно вышел из тюрьмы — читайте в переводе статьи Джеймса Мёрфи

Перевод: Как твиттер под руководством государства и спецслужб удалял правдивую информацию от врачей и экспертов в области общественного здравоохранения, когда она не совпадала с политикой правительства США – в переводе статьи Дэвида Цвейга.

🎉Долгожданный коллаб SVTV и RedShield VPN! 
Оплати подписку на SVTV и получи промокод — до 2 лет бесплатного VPN!

🤑 Хотите попробовать себя в роли СММщика SVTV? Напишите пост — если он нам понравится, мы опубликуем его и заплатим вам вознаграждение!",2022-12-30 21:32:20+00:00,
"Чёрный день календаря: 100 лет со дня создания СССР

Сто лет назад на территории России был установлен режим коммунистов. Он раскинулся на 1/6 части суши и поработил почти 300 миллионов человек.

Редакция СВТВ напоминает, что величайшей геополитической катастрофой ХХ века является не крах СССР, а его создание.

Задонатить через бота | Patreon | Boosty | Предложить новость",2022-12-30 19:30:01+00:00,
