atomic_num	symbol	radius_covalent	radius_b0	radius_vdw	mass	num_out_shell_electrons	most_common_isotope	mass_most_common_isotope	valences	electrons	electron_negativity
100	Fm	1.5	0	2	257	12	257	257.095105	-1	[Rn](7s2)(5f12)	1.34
101	Md	1.5	0	2	258	13	258	258.098431	-1	[Rn](7s2)(5f13)	1.33
102	No	1.5	0	2	259	14	259	259.10103	-1	[Rn](7s2)(5f14)	1.36
103	Lr	1.5	0	2	262	15	262	262.10963	-1	[Rn](7s2)(5f14)(7p1)	1.34
104	Rf	1.57	0	2	267	2	267	267.12153	-1	[Rn](7s2)(5f14)(6d2)	0
105	Db	1.49	0	2	268	2	268	268.12545	-1	[Rn](7s2)(5f14)(6d3)	0
106	Sg	1.43	0	2	269	2	271	271.13347	-1	[Rn](7s2)(5f14)(6d4)	0
107	Bh	1.41	0	2	270	2	270	270.13362	-1	[Rn](7s2)(5f14)(6d5)	0
108	Hs	1.34	0	2	269	2	269	269.13406	-1	[Rn](7s2)(5f14)(6d6)	0
109	Mt	1.29	0	2	278	2	278	278.15481	-1	[Rn](7s2)(5f14)(6d7)	0
110	Ds	1.28	0	2	281	2	281	281.16206	-1	[Rn](7s1)(5f14)(6d9)	0
111	Rg	1.21	0	2	281	2	281	281.16537	-1	[Rn](7s2)(5f14)(6d9)	0
112	Cn	1.22	0	2	285	2	285	285.17411	-1	[Rn](7s2)(5f14)(6d10)	0
113	Nh	1.36	0	2	284	2	284	284.17873	-1	[Rn](7s2)(5f14)(6d10)(7p1)	0
113	Uut	1.36	0	2	284	2	284	284.17873	-1	[Rn](7s2)(5f14)(6d10)(7p1)	0
114	Fl	1.43	0	2	289	2	289	289.19042	-1	[Rn](7s2)(5f14)(6d10)(7p2)	0
115	Mc	1.62	0	2	288	2	288	288.19274	-1	[Rn](7s2)(5f14)(6d10)(7p3)	0
115	Uup	1.62	0	2	288	2	288	288.19274	-1	[Rn](7s2)(5f14)(6d10)(7p3)	0
116	Lv	1.75	0	2	293	2	293	293.20449	-1	[Rn](7s2)(5f14)(6d10)(7p4)	0
117	Ts	1.65	0	2	292	2	292	292.20746	-1	[Rn](7s2)(5f14)(6d10)(7p5)	0
118	Og	1.57	0	2	294	2	294	294.21392	-1	[Rn](7s2)(5f14)(6d10)(7p6)	0
