atomic_num	symbol	radius_covalent	radius_b0	radius_vdw	mass	num_out_shell_electrons	most_common_isotope	mass_most_common_isotope	valences	electrons	electron_negativity
0	*	0	0	0	0	0	0	0	-1		0
1	H	0.23	0.33	1.2	1.008	1	1	1.007825032	1	(1s1)	2.2
2	He	0.93	0.7	1.4	4.003	2	4	4.002603254	0	(1s2)	0
3	Li	0.68	1.23	2.2	6.941	1	7	7.01600455	1	[He](2s1)	0.98
4	Be	0.35	0.9	1.9	9.012	2	9	9.0121822	2	[He](2s2)	1.57
5	B	0.83	0.82	1.8	10.812	3	11	11.0093054	3	[He](2s2)(2p1)	2.04	
6	C	0.68	0.77	1.7	12.011	4	12	12	4	[He](2s2)(2p2)	2.55
7	N	0.68	0.7	1.6	14.007	5	14	14.003074	3	[He](2s2)(2p3)	3.04
8	O	0.68	0.66	1.55	15.999	6	16	15.99491462	2	[He](2s2)(2p4)	3.44
9	F	0.64	0.611	1.5	18.998	7	19	18.99840322	1	[He](2s2)(2p5)	3.98
10	Ne	1.12	0.7	1.54	20.18	8	20	19.99244018	0	[He](2s2)(2p6)	0
11	Na	0.97	1.54	2.4	22.99	1	23	22.98976928	1	[Ne](3s1)	0.93
12	Mg	1.1	1.36	2.2	24.305	2	24	23.9850417	2	[Ne](3s2)	1.31
13	Al	1.35	1.18	2.1	26.982	3	27	26.98153863	3,6	[Ne](3s2)(3p1)	1.61
14	Si	1.2	0.937	2.1	28.086	4	28	27.97692653	4,6	[Ne](3s2)(3p2)	1.98
15	P	0.75	0.89	1.95	30.974	5	31	30.97376163	3,5,7	[Ne](3s2)(3p3)	2.19
16	S	1.02	1.04	1.8	32.067	6	32	31.972071	2,4,6	[Ne](3s2)(3p4)	2.58
17	Cl	0.99	0.997	1.8	35.453	7	35	34.96885268	1	[Ne](3s2)(3p5)	3.16
18	Ar	1.57	1.74	1.88	39.948	8	40	39.96238312	0	[Ne](3s2)(3p6)	0
19	K	1.33	2.03	2.8	39.098	1	39	38.96370668	1	[Ar](4s1)	0.82
20	Ca	0.99	1.74	2.4	40.078	2	40	39.96259098	2	[Ar](4s2)	1
21	Sc	1.44	1.44	2.3	44.956	3	45	44.9559119	-1	[Ar](4s2)(3d1)	1.36
22	Ti	1.47	1.32	2.15	47.867	4	48	47.9479463	-1	[Ar](4s2)(3d2)	1.54
23	V	1.33	1.22	2.05	50.942	5	50	49.9471585	-1	[Ar](4s2)(3d3)	1.63
24	Cr	1.35	1.18	2.05	51.996	6	52	51.9405075	-1	[Ar](4s1)(3d5)	1.66
25	Mn	1.35	1.17	2.05	54.938	7	55	54.9380451	-1	[Ar](4s2)(3d5)	1.55
26	Fe	1.34	1.17	2.05	55.845	8	56	55.9349375	-1	[Ar](4s2)(3d6)	1.83
27	Co	1.33	1.16	2	58.933	9	59	58.933195	-1	[Ar](4s2)(3d7)	1.88
28	Ni	1.5	1.15	2	58.693	10	58	57.9353429	-1	[Ar](4s2)(3d8)	1.92
29	Cu	1.52	1.17	2	63.546	11	63	62.9295975	-1	[Ar](4s1)(3d10)	1.9
30	Zn	1.45	1.25	2.1	65.39	2	64	63.9291422	-1	[Ar](4s2)(3d10)	1.65
31	Ga	1.22	1.26	2.1	69.723	3	69	68.9255736	3	[Ar](4s2)(3d10)(4p1)	1.81
32	Ge	1.17	1.188	2.1	72.61	4	74	73.9211778	4	[Ar](4s2)(3d10)(4p2)	2.01
33	As	1.21	1.2	2.05	74.922	5	75	74.9215965	3,5,7	[Ar](4s2)(3d10)(4p3)	2.18
34	Se	1.22	1.17	1.9	78.96	6	80	79.9165213	2,4,6	[Ar](4s2)(3d10)(4p4)	2.55
35	Br	1.21	1.167	1.9	79.904	7	79	78.9183371	1	[Ar](4s2)(3d10)(4p5)	2.96
36	Kr	1.91	1.91	2.02	83.8	8	84	83.911507	0	[Ar](4s2)(3d10)(4p6)	3
37	Rb	1.47	2.16	2.9	85.468	1	85	84.91178974	1	[Kr](5s1)	0.82
38	Sr	1.12	1.91	2.55	87.62	2	88	87.9056121	2	[Kr](5s2)	0.95
39	Y	1.78	1.62	2.4	88.906	3	89	88.9058483	-1	[Kr](5s2)(4d1)	1.22
40	Zr	1.56	1.45	2.3	91.224	4	90	89.9047044	-1	[Kr](5s2)(4d2)	1.33
41	Nb	1.48	1.34	2.15	92.906	5	93	92.9063781	-1	[Kr](5s1)(4d4)	1.59
42	Mo	1.47	1.3	2.1	95.94	6	98	97.9054082	-1	[Kr](5s1)(4d5)	2.16
43	Tc	1.35	1.27	2.05	98	7	97	96.906365	-1	[Kr](5s2)(4d5)	1.91
44	Ru	1.4	1.25	2.05	101.07	8	102	101.9043493	-1	[Kr](5s1)(4d7)	2.2
45	Rh	1.45	1.25	2	102.906	9	103	102.905504	-1	[Kr](5s1)(4d8)	2.28
46	Pd	1.5	1.28	2.05	106.42	10	106	105.903486	-1	[Kr](4d10)	2.2
47	Ag	1.59	1.34	2.1	107.868	11	107	106.905097	-1	[Kr](5s1)(4d10)	1.93
48	Cd	1.69	1.48	2.2	112.412	2	114	113.9033585	-1	[Kr](5s2)(4d10)	1.69
49	In	1.63	1.44	2.2	114.818	3	115	114.903878	3	[Kr](5s2)(4d10)(5p1)	1.78
50	Sn	1.46	1.385	2.25	118.711	4	120	119.9021947	2,4	[Kr](5s2)(4d10)(5p2)	1.96
51	Sb	1.46	1.4	2.2	121.76	5	121	120.9038157	3,5,7	[Kr](5s2)(4d10)(5p3)	2.05
52	Te	1.47	1.378	2.1	127.6	6	130	129.9062244	2,4	[Kr](5s2)(4d10)(5p4)	2.12
53	I	1.4	1.387	2.1	126.904	7	127	126.904473	1,2,5	[Kr](5s2)(4d10)(5p5)	2.66
54	Xe	1.98	1.98	2.16	131.29	8	132	131.9041535	0,2	[Kr](5s2)(4d10)(5p6)	2.6
55	Cs	1.67	2.35	3	132.905	1	133	132.9054519	1	[Xe](6s1)	0.79
56	Ba	1.34	1.98	2.7	137.328	2	138	137.9052472	2	[Xe](6s2)	0.89
57	La	1.87	1.69	2.5	138.906	3	139	138.9063533	-1	[Xe](6s2)(5d1)	1.11
58	Ce	1.83	1.83	2.48	140.116	4	140	139.9054387	-1	[Xe](6s2)(4f1)(5d1)	1.12
59	Pr	1.82	1.82	2.47	140.908	3	141	140.9076528	-1	[Xe](6s2)(4f3)	1.13
60	Nd	1.81	1.81	2.45	144.24	4	142	141.9077233	-1	[Xe](6s2)(4f4)	1.14
61	Pm	1.8	1.8	2.43	145	5	145	144.912749	-1	[Xe](6s2)(4f5)	1.13
62	Sm	1.8	1.8	2.42	150.36	6	152	151.9197324	-1	[Xe](6s2)(4f6)	1.17
63	Eu	1.99	1.99	2.4	151.964	7	153	152.9212303	-1	[Xe](6s2)(4f7)	1.19
64	Gd	1.79	1.79	2.38	157.25	8	158	157.9241039	-1	[Xe](6s2)(4f7)(5d1)	1.21
65	Tb	1.76	1.76	2.37	158.925	9	159	158.9253468	-1	[Xe](6s2)(4f9)	1.13
66	Dy	1.75	1.75	2.35	162.5	10	164	163.9291748	-1	[Xe](6s2)(4f10)	1.22
67	Ho	1.74	1.74	2.33	164.93	11	165	164.9303221	-1	[Xe](6s2)(4f11)	1.23
68	Er	1.73	1.73	2.32	167.26	12	166	165.9302931	-1	[Xe](6s2)(4f12)	1.24
69	Tm	1.72	1.72	2.3	168.934	13	169	168.9342133	-1	[Xe](6s2)(4f13)	1.25
70	Yb	1.94	1.94	2.28	173.04	14	174	173.9388621	-1	[Xe](6s2)(4f14)	1.26
71	Lu	1.72	1.72	2.27	174.967	15	175	174.9407718	-1	[Xe](6s2)(4f14)(5d1)	1.27
72	Hf	1.57	1.44	2.25	178.49	4	180	179.94655	-1	[Xe](6s2)(4f14)(5d2)	1.32
73	Ta	1.43	1.34	2.2	180.948	5	181	180.9479958	-1	[Xe](6s2)(4f14)(5d3)	1.51
74	W	1.37	1.3	2.1	183.84	6	184	183.9509312	-1	[Xe](6s2)(4f14)(5d4)	2.36
75	Re	1.35	1.28	2.05	186.207	7	187	186.9557531	-1	[Xe](6s2)(4f14)(5d5)	1.93
76	Os	1.37	1.26	2	190.23	8	192	191.9614807	-1	[Xe](6s2)(4f14)(5d6)	2.18
77	Ir	1.32	1.27	2	192.217	9	193	192.9629264	-1	[Xe](6s2)(4f14)(5d7)	2.2
78	Pt	1.5	1.3	2.05	195.078	10	195	194.9647911	-1	[Xe](6s1)(4f14)(5d9)	2.28
79	Au	1.5	1.34	2.1	196.967	11	197	196.9665687	-1	[Xe](6s1)(4f14)(5d10)	2.54
80	Hg	1.7	1.49	2.05	200.59	2	202	201.970643	-1	[Xe](6s2)(4f14)(5d10)	2
81	Tl	1.55	1.48	2.2	204.383	3	205	204.9744275	3	[Xe](6s2)(4f14)(5d10)(6p1)	1.62
82	Pb	1.54	1.48	2.3	207.2	4	208	207.9766521	2,4	[Xe](6s2)(4f14)(5d10)(6p2)	1.87
83	Bi	1.54	1.45	2.3	208.98	5	209	208.9803987	3,5,7	[Xe](6s2)(4f14)(5d10)(6p3)	2.02
84	Po	1.68	1.46	2	209	6	209	208.9824304	2	[Xe](6s2)(4f14)(5d10)(6p4)	1.99
85	At	1.7	1.45	2	210	7	210	209.987148	1	[Xe](6s2)(4f14)(5d10)(6p5)	2.22
86	Rn	2.4	2.4	2	222	8	211	210.990601	0	[Xe](6s2)(4f14)(5d10)(6p6)	2.43
87	Fr	2	2	2	223	1	223	223.0197359	1	[Rn](7s1)	0.71
88	Ra	1.9	1.9	2	226	2	223	223.0185022	2	[Rn](7s2)	0.92
89	Ac	1.88	1.88	2	227	3	227	227.0277521	-1	[Rn](7s2)(6d1)	1.09
90	Th	1.79	1.79	2.4	232.038	4	232	232.0380553	-1	[Rn](7s2)(6d2)	1.32
91	Pa	1.61	1.61	2	231.036	3	231	231.035884	-1	[Rn](7s2)(5f2)(6d1)	1.54
92	U	1.58	1.58	2.3	238.029	4	238	238.0507882	-1	[Rn](7s2)(5f3)(6d1)	1.38
93	Np	1.55	1.55	2	237	5	236	236.04657	-1	[Rn](7s2)(5f4)(6d1)	1.36
94	Pu	1.53	1.53	2	244	6	238	238.0495599	-1	[Rn](7s2)(5f6)	1.28
95	Am	1.51	1.07	2	243	7	241	241.0568291	-1	[Rn](7s2)(5f7)	1.13
96	Cm	1.5	0	2	247	8	243	243.0613891	-1	[Rn](7s2)(5f7)(6d1)	1.28
97	Bk	1.5	0	2	247	9	247	247.070307	-1	[Rn](7s2)(5f9)	1.35
98	Cf	1.5	0	2	251	10	249	249.0748535	-1	[Rn](7s2)(5f10)	1.29
99	Es	1.5	0	2	252	11	252	252.08298	-1	[Rn](7s2)(5f11)	1.31
