MARIE,45146
EMILIA,34884
ANNA,93241
EMMA,46987
LENA,60930
MIA,36443
LAURA,59046
VALENTINA,35647
HANNAH,40720
LEA,41174
SOPHIA,37893
SOPHIE,50840
JOHANNA,47437
LEONIE,43408
LINA,15704
NORA,12390
ELLA,11329
LARA,35354
LUISA,15996
ELENA,29400
MAGDALENA,40679
HANNA,25091
OLIVIA,8075
AMELIE,17103
HELENA,13666
THERESA,28844
VALERIE,8989
KATHARINA,65208
JULIA,90250
MILA,5055
SARAH,62335
MIRIAM,11140
ELISA,10886
EMILY,14737
ANTONIA,7571
KLARA,8464
SARA,15476
ALINA,21465
FRANZISKA,10436
MARLENE,25987
LISA,62855
ROSA,5091
SOFIA,7302
CLARA,9113
IDA,1886
ELINA,4974
PAULA,9273
LENI,1492
ROSALIE,1976
JANA,22661
ISABELLA,27110
NINA,35371
FLORA,1604
PAULINA,2717
ANNIKA,8836
MARIA,25313
MELINA,3750
LIVIA,1769
CHARLOTTE,2199
EVA,23344
,0
LINDA,4219
LIA,969
GRETA,1493
VIKTORIA,24045
ELISABETH,27131
SELINA,20106
PIA,6775
VANESSA,23795
ELIF,1737
VICTORIA,15920
ANJA,14922
LILLY,2393
JASMIN,23609
LARISSA,3015
MELISSA,1703
EMELY,1392
ANGELINA,2093
CHIARA,3137
MELANIE,34031
CHRISTINA,26698
MAYA,1010
MICHELLE,12143
NADINE,18793
CELINA,1825
ZOE,453
CARINA,18585
NICOLE,24012
STEFANIE,28559
NATALIE,1791
VERENA,21000
JESSICA,2943
ALEXANDRA,14515
SANDRA,28047
JENNIFER,14590
DENISE,4911
SABRINA,27016
TAMARA,12644
CELINE,660
KERSTIN,16162
TANJA,16932
BIANCA,16057
DANIELA,22270
MICHAELA,15666
SIMONE,4331
KATRIN,12561
MARTINA,15216
JANINE,1209
ANDREA,14970
BARBARA,15098
CLAUDIA,15776
PATRICIA,2222
INES,638
KATHRIN,4358
JACQUELINE,2955
TERESA,158
STEPHANIE,4216
REBECCA,166
BETTINA,5521
CORNELIA,4724
SABINE,5486
MANUELA,3984
PETRA,3780
SONJA,2946
ANGELIKA,1966
YVONNE,1898
SUSANNE,2246
KARIN,3254
BIRGIT,3471
TINA,187
CHRISTINE,2516
CARMEN,182
VERONIKA,565
CORINNA,818
IRIS,577
ROMANA,983
DORIS,1761
SILVIA,1326
MARION,1199
MARINA,212
MONIKA,1307
ANITA,1076
NATASCHA,191
ASTRID,403
SILKE,198
BERNADETTE,191
MAJA,482
ANNALENA,327
MARA,5
MIRA,806
MONA,430
STELLA,180
ALICE,4
FLORENTINA,203
YLVIE,4
JOSEFINE,42
LILIANA,4
LOUISA,59
MILENA,45
FIONA,81
LEAH,5
FRIEDA,65
LEYLA,13
NELE,14
VIVIEN,4
MATILDA,345
AURELIA,417
DIANA,53
JOSEPHINE,5
ALESSIA,4
INA,8
EMA,4
ILVY,4
ISABELL,13
LORENA,759
LOTTA,40
LUNA,14
KIMBERLY,12
AMY,17
LANA,5
LOREEN,5
ZOEY,23
ANNA-LENA,189
FABIENNE,125
LEA-SOPHIE,4
NAOMI,4
ELSA,4
LAUREEN,4
ISABEL,21
ANIKA,332
CAROLINE,108
SINA,5
JANINA,10
PAULINE,4
ALISSA,14
SELIN,5
SASKIA,4
LIANA,10
LILLI,19
RONJA,108
MARIELLA,8
HAILEY,9
AYLIN,32
AMINA,639
ROMY,60
EMELIE,57
GLORIA,29
KRISTIN,8
ALISA,11
HELENE,624
CAROLINA,49
FRIDA,297
LUISE,22
MATHILDA,251
ALMA,685
MARLENA,9
MINA,40
KATJA,19
HEIDI,33
MATHEA,36
ELA,339
MALEA,10
MARTHA,9
JUNA,8
ALYA,57
AMALIA,15
AURORA,7
MALIA,7
VALERIA,9
ZEYNEP,668
LIYA,8
IRMA,7
AZRA,522
NISA,93
ESILA,61
ESLEM,7
MIRAY,41
HIRA,77
TABEA,8
ESMA,7
MAYLA,6
ECRIN,80
VORNAME,0
ANASTASIA,594
HANA,141
TEODORA,127
SOFIJA,137
LEONORA,92
ANA,115
MERYEM,37
KRISTINA,29
ANDJELA,27
