MARIA GUADALUPE,7105
LETICIA,5848
PATRICIA,5422
GUADALUPE,5348
MARIA DEL CARMEN,4881
VERONICA,4772
MARGARITA,4674
ELIZABETH,4661
SILVIA,4223
ROSA MARIA,4107
MARIA ELENA,4009
YOLANDA,3870
GABRIELA,3853
JUANA,3830
ADRIANA,3712
ARACELI,3702
MARTHA,3551
ANA MARIA,3162
MARIBEL,3159
ALICIA,3107
ALEJANDRA,3091
CLAUDIA,3025
LAURA,2960
IRMA,2953
MARIA ISABEL,2953
MARIA TERESA,2909
BEATRIZ,2830
MARIA DE LOURDES,2771
MARICELA,2677
MARIA DE LOS ANGELES,2665
MARIA DEL ROSARIO,2542
GLORIA,2527
JOSEFINA,2516
ROCIO,2441
MARIA,2432
TERESA,2430
ANGELICA,2392
GRACIELA,2380
MARIA LUISA,2336
MARIA DE JESUS,2236
LUZ MARIA,2193
LORENA,2178
SUSANA,2143
MARISOL,2044
VIRGINIA,1978
LUCIA,1972
SANDRA,1967
ROSA,1939
NORMA,1894
EDITH,1881
LILIANA,1858
CECILIA,1840
MARIA EUGENIA,1837
MONICA,1825
FRANCISCA,1823
ERIKA,1789
MA GUADALUPE,1777
MIRIAM,1737
CAROLINA,1728
MARIA MAGDALENA,1687
CRISTINA,1623
ROSALBA,1611
KARINA,1583
SONIA,1582
GUILLERMINA,1524
FABIOLA,1519
ISABEL,1492
RAQUEL,1482
ALMA DELIA,1437
BLANCA ESTELA,1425
MARIA DOLORES,1400
MARIA DE LA LUZ,1382
LILIA,1381
ESPERANZA,1349
MARIA ESTHER,1334
CATALINA,1326
MARIA CONCEPCION,1326
MARIA DEL SOCORRO,1315
SARA,1304
MA. GUADALUPE,1292
MINERVA,1292
OLIVIA,1278
MARTHA PATRICIA,1276
CONCEPCION,1274
NANCY,1268
ANTONIA,1236
ALMA ROSA,1215
OFELIA,1207
ESTELA,1202
HILDA,1198
REYNA,1198
GEORGINA,1194
JUDITH,1190
MARIA CRISTINA,1185
MAGDALENA,1184
ELVIRA,1183
GRISELDA,1181
DIANA,1166
IRENE,1161
ANA LILIA,1160
CARMEN,1160
MARCELA,1155
EVA,1152
MARIA LOURDES,1116
ESTHER,1115
MARIA CARMEN,1095
ELVIA,1094
VICTORIA,1085
ROSA ISELA,1073
