nombre;genero;;;
Aamira;F;;;
Abbi;F;;;
Abbie;F;;;
Abby;F;;;
Abi;F;;;
Abigail;F;;;
Abisai;F;;;
Abril;F;;;
Abryl;F;;;
Aby;F;;;
Acacia;F;;;
Ada;F;;;
Adabel;F;;;
Adabella;F;;;
Adalis;F;;;
Adaluz;F;;;
Adaly;F;;;
Adar;F;;;
Adara;F;;;
Ádara;F;;;
Adaya;F;;;
Adda;F;;;
Adela;F;;;
Adelaida;F;;;
Adele;F;;;
Adelina;F;;;
Adeline;F;;;
Adhara;F;;;
Adira;F;;;
Adolfina;F;;;
Adra;F;;;
Adria;F;;;
Adriana;F;;;
Ady;F;;;
Afra;F;;;
Africa;F;;;
África;F;;;
Afrika;F;;;
Agata;F;;;
Ágata;F;;;
Agatha;F;;;
Ágatha;F;;;
Agnes;F;;;
Agostina;F;;;
Agustina;F;;;
Ahimara;F;;;
Ahinara;F;;;
Ahinoa;F;;;
Ahitana;F;;;
Ahsley;F;;;
Aiala;F;;;
Aialá;F;;;
Aida;F;;;
Aída;F;;;
Aidana;F;;;
Aien;F;;;
Aién;F;;;
Aika;F;;;
Aileen;F;;;
Ailen;F;;;
Ailén;F;;;
Aileth;F;;;
Ailin;F;;;
Ailín;F;;;
Ailym;F;;;
Ailyn;F;;;
Aimara;F;;;
Aime;F;;;
Aimé;F;;;
Aimee;F;;;
Aimeé;F;;;
Aimée;F;;;
Aimi;F;;;
Aimme;F;;;
Aimy;F;;;
Aina;F;;;
Aína;F;;;
Ainara;F;;;
Ainelen;F;;;
Ainhara;F;;;
Ainhoa;F;;;
Ainoa;F;;;
Ainoah;F;;;
Ainoha;F;;;
Aintana;F;;;
Aira;F;;;
Airana;F;;;
Aisha;F;;;
Aitana;F;;;
Aitanna;F;;;
Aithana;F;;;
Aitiana;F;;;
Aixa;F;;;
Akane;F;;;
Akemi;F;;;
Akira;F;;;
Alahi;F;;;
Alahia;F;;;
Alai;F;;;
Alaia;F;;;
Alana;F;;;
Alanis;F;;;
Alanna;F;;;
Alaska;F;;;
Alay;F;;;
Alaysha;F;;;
Alba;F;;;
Albertina;F;;;
Aldana;F;;;
Aldhae;F;;;
Alegra;F;;;
Alegria;F;;;
Aleida;F;;;
Alejandra;F;;;
Alejandrina;F;;;
Aleli;F;;;
Alelí;F;;;
Alena;F;;;
Aleska;F;;;
Alessa;F;;;
Alessandra;F;;;
Alessia;F;;;
Alex;F;;;
Alexa;F;;;
Alexandra;F;;;
Alexia;F;;;
Aleyna;F;;;
Alfonsina;F;;;
Alhelí;F;;;
Alice;F;;;
Alicia;F;;;
Alin;F;;;
Alina;F;;;
Aline;F;;;
Alis;F;;;
Alisa;F;;;
Alise;F;;;
Alisha;F;;;
Alison;F;;;
Alissa;F;;;
Alisson;F;;;
Alix;F;;;
Aliz;F;;;
Aliza;F;;;
Alizée;F;;;
Alizon;F;;;
Allegra;F;;;
Allison;F;;;
Allisson;F;;;
